"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 07:20:29 GMT 2023","Thu May 25 07:21:22 GMT 2023","53525","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:24:53 GMT 2023","90109","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongI","Ввод в поле ""Контактное лицо"" длинное имя",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:27:13 GMT 2023","112153","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:51 GMT 2023","90058","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeButton","Нажать на кнопку с цифрой под полем ""Срок вклада""",""
"failed","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:27:24 GMT 2023","123389","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"broken","Thu May 25 07:23:22 GMT 2023","Thu May 25 07:24:19 GMT 2023","56988","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongO","Ввод в поле ""Контактное лицо"" длинную фамилию",""
"broken","Thu May 25 07:23:22 GMT 2023","Thu May 25 07:24:19 GMT 2023","56910","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFIO","Ввод в поле ""Контактное лицо"" чисел и английских букв [1] 0",""
"broken","Thu May 25 07:21:23 GMT 2023","Thu May 25 07:22:19 GMT 2023","56149","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTimeSpace","Ввод в поле ""Срок"" большого числа",""
"broken","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:22:55 GMT 2023","90417","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"broken","Thu May 25 07:21:23 GMT 2023","Thu May 25 07:22:21 GMT 2023","57853","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditAllowConditions","Проверка отправки заявки без галочки ""Я согласен с условиями рассмотрения заявки""",""
"broken","Thu May 25 07:19:31 GMT 2023","Thu May 25 07:20:29 GMT 2023","58007","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"broken","Thu May 25 07:21:23 GMT 2023","Thu May 25 07:22:17 GMT 2023","54193","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditPhoneOneNumber","Ввод в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:23:17 GMT 2023","113044","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO2","Ввод в поле ""ФИО"" большого числа знаков:",""
"broken","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:22:54 GMT 2023","90087","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseEmail","Ввод в поле ""Электронная почта"" одного символа",""
"broken","Thu May 25 07:23:22 GMT 2023","Thu May 25 07:24:17 GMT 2023","54472","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditInnEmpty","Ввод в поле ИНН пробела",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:25:16 GMT 2023","112798","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongF","Ввод в поле ""Контактное лицо"" длинную фамилию",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:18 GMT 2023","57052","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsCheckData","Проверка данных на странице с выбором вклада и на отдельной странице вклада",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:16 GMT 2023","54723","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneCharFIO","Ввод на отдельной странице вклада в поле ""ФИО"" одной буквы",""
"broken","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:23:16 GMT 2023","112075","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTrue","Отправка заявки с корректными данными",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:51 GMT 2023","90047","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsFalseFIO","Ввод на отдельной странице вклада в поле ""ФИО"" чисел и английских букв [1] 0",""
"failed","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:23:22 GMT 2023","118556","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseOldBirthday","Ввод в поле ""Дата рождения"" - ""сегодняшяя дата ""-"" 80 лет""",""
"broken","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:22:54 GMT 2023","90163","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:24:53 GMT 2023","90210","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [2] Иван Иванович@m.r",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:27:10 GMT 2023","108834","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBetween","Ввод пробела в поле ""Срок вклада"" значение ""22"" - между 20 и 24",""
"broken","Thu May 25 07:27:24 GMT 2023","Thu May 25 07:28:18 GMT 2023","54060","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 07:21:23 GMT 2023","Thu May 25 07:22:21 GMT 2023","57252","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditSumSpace","Ввод пробела в поле ""Сумма""",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:51 GMT 2023","90089","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBig","Ввод в поле ""Срок вклада"" большое значение",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:24:53 GMT 2023","90105","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [1] 0",""
"broken","Thu May 25 07:20:29 GMT 2023","Thu May 25 07:21:23 GMT 2023","53797","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:24:20 GMT 2023","57067","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:22:55 GMT 2023","90479","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:25:15 GMT 2023","112542","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 07:27:24 GMT 2023","Thu May 25 07:28:20 GMT 2023","55027","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"failed","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:25:21 GMT 2023","118127","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditAllowCondition","Проверка необходимости согласия с условиями обработки персональных данных",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:17 GMT 2023","56323","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"broken","Thu May 25 07:19:31 GMT 2023","Thu May 25 07:20:28 GMT 2023","57917","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:18 GMT 2023","57054","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsFalseFIO","Ввод на отдельной странице вклада в поле ""ФИО"" чисел и английских букв [2] Petr Petrov",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:25:15 GMT 2023","112363","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFI","Ввод в поле ""Контактное лицо"" одной буквы",""
"broken","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:23:14 GMT 2023","110821","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTimeBig","Ввод в поле ""Срок"" пробел",""
"broken","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:24:19 GMT 2023","56787","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditTrue","Отправка заявки с корректными данными",""
"broken","Thu May 25 07:27:24 GMT 2023","Thu May 25 07:28:19 GMT 2023","54846","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"broken","Thu May 25 07:27:24 GMT 2023","Thu May 25 07:28:20 GMT 2023","55104","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"failed","Thu May 25 07:23:23 GMT 2023","Thu May 25 07:25:19 GMT 2023","116014","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFIO","Ввод в поле ""Контактное лицо"" чисел и английских букв [2] Petr Petrov",""
"broken","Thu May 25 07:21:25 GMT 2023","Thu May 25 07:22:55 GMT 2023","90100","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Thu May 25 07:19:34 GMT 2023","Thu May 25 07:20:29 GMT 2023","54975","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:26:17 GMT 2023","56380","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneNumberPhone","Ввод на отдельной странице вклада в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:27:14 GMT 2023","112645","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTrue","Заполнение и отправка формы на депозит на отдельной странице",""
"broken","Thu May 25 07:20:29 GMT 2023","Thu May 25 07:21:23 GMT 2023","53978","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"failed","Thu May 25 07:21:24 GMT 2023","Thu May 25 07:23:20 GMT 2023","116119","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseYoungBirthday","Ввод в поле ""Дата рождения"" - ""сегодняшяя дата ""-"" 2 года""",""
"broken","Thu May 25 07:21:23 GMT 2023","Thu May 25 07:22:20 GMT 2023","56583","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditSumBig","Ввод в поле ""Сумма"" большого числа",""
"broken","Thu May 25 07:25:21 GMT 2023","Thu May 25 07:27:13 GMT 2023","112167","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsEmptyField","Проверка отправления заявки с пустыми полями",""
