"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 07:48:15 GMT 2023","Thu May 25 07:48:15 GMT 2023","378","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 07:52:19 GMT 2023","Thu May 25 07:54:10 GMT 2023","111623","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTrue","Заполнение и отправка формы на депозит на отдельной странице",""
"broken","Thu May 25 07:48:15 GMT 2023","Thu May 25 07:48:15 GMT 2023","398","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 07:52:19 GMT 2023","Thu May 25 07:53:49 GMT 2023","90119","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"broken","Thu May 25 07:54:11 GMT 2023","Thu May 25 07:55:05 GMT 2023","54216","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 07:48:16 GMT 2023","Thu May 25 07:49:46 GMT 2023","90247","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseEmail","Ввод в поле ""Электронная почта"" одного символа",""
"broken","Thu May 25 07:48:06 GMT 2023","Thu May 25 07:48:15 GMT 2023","8320","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"broken","Thu May 25 07:50:25 GMT 2023","Thu May 25 07:51:20 GMT 2023","54818","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFIO","Ввод в поле ""Контактное лицо"" чисел и английских букв [2] Petr Petrov",""
"broken","Thu May 25 07:52:19 GMT 2023","Thu May 25 07:54:09 GMT 2023","110846","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsEmptyField","Проверка отправления заявки с пустыми полями",""
"broken","Thu May 25 07:48:17 GMT 2023","Thu May 25 07:49:47 GMT 2023","90087","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Thu May 25 07:50:25 GMT 2023","Thu May 25 07:51:21 GMT 2023","56084","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongO","Ввод в поле ""Контактное лицо"" длинную фамилию",""
"broken","Thu May 25 07:50:25 GMT 2023","Thu May 25 07:52:16 GMT 2023","110676","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditTrue","Отправка заявки с корректными данными",""
"broken","Thu May 25 07:48:16 GMT 2023","Thu May 25 07:49:11 GMT 2023","55757","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditAllowConditions","Проверка отправки заявки без галочки ""Я согласен с условиями рассмотрения заявки""",""
"broken","Thu May 25 07:52:18 GMT 2023","Thu May 25 07:53:14 GMT 2023","55915","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsFalseFIO","Ввод на отдельной странице вклада в поле ""ФИО"" чисел и английских букв [2] Petr Petrov",""
"broken","Thu May 25 07:50:25 GMT 2023","Thu May 25 07:51:21 GMT 2023","56092","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditInnEmpty","Ввод в поле ИНН пробела",""
"broken","Thu May 25 07:50:25 GMT 2023","Thu May 25 07:52:15 GMT 2023","109905","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditAllowCondition","Проверка необходимости согласия с условиями обработки персональных данных",""
"passed","Thu May 25 07:54:11 GMT 2023","Thu May 25 07:54:25 GMT 2023","14649","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"broken","Thu May 25 07:52:19 GMT 2023","Thu May 25 07:53:49 GMT 2023","90072","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeButton","Нажать на кнопку с цифрой под полем ""Срок вклада""",""
"broken","Thu May 25 07:52:18 GMT 2023","Thu May 25 07:53:14 GMT 2023","56235","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneNumberPhone","Ввод на отдельной странице вклада в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 07:48:00 GMT 2023","Thu May 25 07:48:15 GMT 2023","14533","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Thu May 25 07:50:25 GMT 2023","Thu May 25 07:52:17 GMT 2023","111505","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFI","Ввод в поле ""Контактное лицо"" одной буквы",""
"broken","Thu May 25 07:48:16 GMT 2023","Thu May 25 07:50:18 GMT 2023","121653","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO2","Ввод в поле ""ФИО"" большого числа знаков:",""
"broken","Thu May 25 07:50:26 GMT 2023","Thu May 25 07:51:56 GMT 2023","90089","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongI","Ввод в поле ""Контактное лицо"" длинное имя",""
"broken","Thu May 25 07:50:25 GMT 2023","Thu May 25 07:51:56 GMT 2023","90103","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [1] 0",""
