"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 15:04:31 GMT 2023","Tue May 23 15:06:02 GMT 2023","91305","","tests.desktop.FiveTest","","tests.desktop.FiveTest","businessCredit","businessCredit()",""
"broken","Tue May 23 14:58:10 GMT 2023","Tue May 23 14:59:42 GMT 2023","91451","","tests.mobile.MobileFirstTest","","tests.mobile.MobileFirstTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 15:06:02 GMT 2023","Tue May 23 15:07:34 GMT 2023","91217","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
"broken","Tue May 23 14:59:42 GMT 2023","Tue May 23 15:01:13 GMT 2023","91262","","tests.desktop.ThirdTest","","tests.desktop.ThirdTest","credit","credit()",""
"broken","Tue May 23 15:03:00 GMT 2023","Tue May 23 15:04:31 GMT 2023","91277","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"failed","Tue May 23 15:01:13 GMT 2023","Tue May 23 15:03:00 GMT 2023","106823","","tests.desktop.FourTest","","tests.desktop.FourTest","ipoteka","ipoteka()",""
"broken","Tue May 23 14:56:32 GMT 2023","Tue May 23 14:58:10 GMT 2023","97647","","tests.mobile.MobileSecondTest","","tests.mobile.MobileSecondTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 15:07:34 GMT 2023","Tue May 23 15:09:05 GMT 2023","91232","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
