"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 25 13:05:56 GMT 2023","Thu May 25 13:06:09 GMT 2023","12987","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"passed","Thu May 25 13:05:43 GMT 2023","Thu May 25 13:05:55 GMT 2023","11876","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"passed","Thu May 25 13:05:25 GMT 2023","Thu May 25 13:05:43 GMT 2023","18205","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"passed","Thu May 25 13:04:51 GMT 2023","Thu May 25 13:05:15 GMT 2023","23247","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"passed","Thu May 25 13:05:24 GMT 2023","Thu May 25 13:05:39 GMT 2023","15053","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"passed","Thu May 25 13:06:09 GMT 2023","Thu May 25 13:06:19 GMT 2023","9941","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"passed","Thu May 25 13:05:25 GMT 2023","Thu May 25 13:05:43 GMT 2023","18445","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"passed","Thu May 25 13:05:15 GMT 2023","Thu May 25 13:05:23 GMT 2023","8377","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"passed","Thu May 25 13:06:09 GMT 2023","Thu May 25 13:06:22 GMT 2023","12990","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"passed","Thu May 25 13:05:15 GMT 2023","Thu May 25 13:05:24 GMT 2023","9589","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"passed","Thu May 25 13:06:09 GMT 2023","Thu May 25 13:06:20 GMT 2023","11281","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"passed","Thu May 25 13:05:24 GMT 2023","Thu May 25 13:05:42 GMT 2023","17360","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"passed","Thu May 25 13:05:43 GMT 2023","Thu May 25 13:05:56 GMT 2023","12757","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"passed","Thu May 25 13:06:09 GMT 2023","Thu May 25 13:06:22 GMT 2023","12829","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"failed","Thu May 25 13:05:56 GMT 2023","Thu May 25 13:06:08 GMT 2023","12176","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"passed","Thu May 25 13:05:56 GMT 2023","Thu May 25 13:06:06 GMT 2023","9680","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"passed","Thu May 25 13:04:47 GMT 2023","Thu May 25 13:05:13 GMT 2023","26958","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"passed","Thu May 25 13:05:15 GMT 2023","Thu May 25 13:05:22 GMT 2023","6890","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"passed","Thu May 25 13:04:47 GMT 2023","Thu May 25 13:05:14 GMT 2023","27069","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
