"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 13:45:28 GMT 2023","Thu May 25 13:45:49 GMT 2023","20809","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"failed","Thu May 25 13:45:28 GMT 2023","Thu May 25 13:45:47 GMT 2023","19389","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"passed","Thu May 25 13:45:15 GMT 2023","Thu May 25 13:45:21 GMT 2023","5757","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"passed","Thu May 25 13:46:16 GMT 2023","Thu May 25 13:46:30 GMT 2023","14290","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"passed","Thu May 25 13:46:06 GMT 2023","Thu May 25 13:46:16 GMT 2023","10519","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"passed","Thu May 25 13:44:46 GMT 2023","Thu May 25 13:45:09 GMT 2023","22426","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"passed","Thu May 25 13:45:15 GMT 2023","Thu May 25 13:45:28 GMT 2023","12795","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"failed","Thu May 25 13:45:50 GMT 2023","Thu May 25 13:46:06 GMT 2023","15835","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"passed","Thu May 25 13:46:16 GMT 2023","Thu May 25 13:46:29 GMT 2023","12627","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"passed","Thu May 25 13:46:16 GMT 2023","Thu May 25 13:46:30 GMT 2023","14308","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"passed","Thu May 25 13:45:28 GMT 2023","Thu May 25 13:45:49 GMT 2023","20813","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"passed","Thu May 25 13:46:06 GMT 2023","Thu May 25 13:46:16 GMT 2023","10006","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"passed","Thu May 25 13:46:06 GMT 2023","Thu May 25 13:46:16 GMT 2023","10472","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"failed","Thu May 25 13:45:50 GMT 2023","Thu May 25 13:46:05 GMT 2023","15598","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"passed","Thu May 25 13:45:15 GMT 2023","Thu May 25 13:45:23 GMT 2023","8532","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"failed","Thu May 25 13:44:50 GMT 2023","Thu May 25 13:45:15 GMT 2023","24711","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"passed","Thu May 25 13:46:16 GMT 2023","Thu May 25 13:46:26 GMT 2023","10066","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"passed","Thu May 25 13:45:28 GMT 2023","Thu May 25 13:45:50 GMT 2023","21753","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"passed","Thu May 25 13:44:46 GMT 2023","Thu May 25 13:45:09 GMT 2023","22975","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
