"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 09:03:06 GMT 2023","Thu May 25 09:04:39 GMT 2023","93207","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"broken","Thu May 25 09:06:12 GMT 2023","Thu May 25 09:07:46 GMT 2023","93273","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"broken","Thu May 25 09:11:27 GMT 2023","Thu May 25 09:13:00 GMT 2023","93403","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"broken","Thu May 25 09:09:37 GMT 2023","Thu May 25 09:11:09 GMT 2023","92580","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"failed","Thu May 25 09:06:12 GMT 2023","Thu May 25 09:08:05 GMT 2023","112340","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"broken","Thu May 25 09:08:05 GMT 2023","Thu May 25 09:09:37 GMT 2023","91867","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 09:08:05 GMT 2023","Thu May 25 09:09:37 GMT 2023","91936","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 09:11:26 GMT 2023","Thu May 25 09:13:00 GMT 2023","93481","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"broken","Thu May 25 09:03:03 GMT 2023","Thu May 25 09:04:39 GMT 2023","95978","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"broken","Thu May 25 09:04:39 GMT 2023","Thu May 25 09:06:12 GMT 2023","92864","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"broken","Thu May 25 09:06:13 GMT 2023","Thu May 25 09:07:46 GMT 2023","93434","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Thu May 25 09:11:26 GMT 2023","Thu May 25 09:12:59 GMT 2023","92982","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 09:06:12 GMT 2023","Thu May 25 09:07:45 GMT 2023","93071","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"broken","Thu May 25 09:04:39 GMT 2023","Thu May 25 09:06:12 GMT 2023","92667","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"failed","Thu May 25 09:09:37 GMT 2023","Thu May 25 09:11:26 GMT 2023","109432","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"broken","Thu May 25 09:11:26 GMT 2023","Thu May 25 09:12:59 GMT 2023","92570","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 09:03:03 GMT 2023","Thu May 25 09:04:39 GMT 2023","95975","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Thu May 25 09:04:39 GMT 2023","Thu May 25 09:06:12 GMT 2023","92906","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 09:09:37 GMT 2023","Thu May 25 09:11:10 GMT 2023","92628","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
