"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 12:58:45 GMT 2023","Tue May 23 13:00:17 GMT 2023","91330","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
"failed","Tue May 23 12:49:10 GMT 2023","Tue May 23 12:51:08 GMT 2023","118511","","tests.mobile.MobileSecondTest","","tests.mobile.MobileSecondTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 12:55:42 GMT 2023","Tue May 23 12:57:14 GMT 2023","91267","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"broken","Tue May 23 12:52:40 GMT 2023","Tue May 23 12:54:11 GMT 2023","91405","","tests.desktop.ThirdTest","","tests.desktop.ThirdTest","credit","credit()",""
"broken","Tue May 23 12:54:11 GMT 2023","Tue May 23 12:55:42 GMT 2023","91242","","tests.desktop.FourTest","","tests.desktop.FourTest","ipoteka","ipoteka()",""
"broken","Tue May 23 13:00:17 GMT 2023","Tue May 23 13:01:48 GMT 2023","91214","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
"broken","Tue May 23 12:51:08 GMT 2023","Tue May 23 12:52:40 GMT 2023","91266","","tests.mobile.MobileFirstTest","","tests.mobile.MobileFirstTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 12:57:14 GMT 2023","Tue May 23 12:58:45 GMT 2023","91268","","tests.desktop.FiveTest","","tests.desktop.FiveTest","businessCredit","businessCredit()",""
