"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 13:50:24 GMT 2023","Tue May 23 13:51:56 GMT 2023","91609","","tests.mobile.MobileFirstTest","","tests.mobile.MobileFirstTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 13:56:50 GMT 2023","Tue May 23 13:58:22 GMT 2023","91547","","tests.desktop.FiveTest","","tests.desktop.FiveTest","businessCredit","businessCredit()",""
"failed","Tue May 23 13:54:59 GMT 2023","Tue May 23 13:56:50 GMT 2023","111255","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"broken","Tue May 23 13:58:22 GMT 2023","Tue May 23 13:59:54 GMT 2023","91630","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
"broken","Tue May 23 13:59:54 GMT 2023","Tue May 23 14:01:25 GMT 2023","91477","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
"broken","Tue May 23 13:53:27 GMT 2023","Tue May 23 13:54:59 GMT 2023","91483","","tests.desktop.FourTest","","tests.desktop.FourTest","ipoteka","ipoteka()",""
"failed","Tue May 23 13:48:23 GMT 2023","Tue May 23 13:50:24 GMT 2023","120958","","tests.mobile.MobileSecondTest","","tests.mobile.MobileSecondTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 13:51:56 GMT 2023","Tue May 23 13:53:27 GMT 2023","91543","","tests.desktop.ThirdTest","","tests.desktop.ThirdTest","credit","credit()",""
