"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","26","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseOldBirthday","Ввод в поле ""Дата рождения"" - ""сегодняшяя дата ""-"" 80 лет""",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","67","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseEmail","Ввод в поле ""Электронная почта"" одного символа",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","28","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBetween","Ввод пробела в поле ""Срок вклада"" значение ""22"" - между 20 и 24",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","31","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFI","Ввод в поле ""Контактное лицо"" одной буквы",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","33","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFIO","Ввод в поле ""Контактное лицо"" чисел и английских букв [1] 0",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","62","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","25","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","58","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","54","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeButton","Нажать на кнопку с цифрой под полем ""Срок вклада""",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","37","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneNumberPhone","Ввод на отдельной странице вклада в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","48","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","25","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [1] 0",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","25","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFIO","Ввод в поле ""Контактное лицо"" чисел и английских букв [2] Petr Petrov",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","21","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO2","Ввод в поле ""ФИО"" большого числа знаков:",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","33","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseLongF","Ввод в поле ""Контактное лицо"" длинную фамилию",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","22","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"broken","Thu May 25 07:15:05 GMT 2023","Thu May 25 07:15:08 GMT 2023","2892","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","14","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","35","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","85","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","26","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsCheckData","Проверка данных на странице с выбором вклада и на отдельной странице вклада",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:10 GMT 2023","28","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [2] Иван Иванович@m.r",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","39","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 07:15:10 GMT 2023","Thu May 25 07:15:10 GMT 2023","28","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBig","Ввод в поле ""Срок вклада"" большое значение",""
"broken","Thu May 25 07:15:09 GMT 2023","Thu May 25 07:15:09 GMT 2023","52","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditAllowConditions","Проверка отправки заявки без галочки ""Я согласен с условиями рассмотрения заявки""",""
