"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 07:10:33 GMT 2023","Thu May 25 07:10:34 GMT 2023","633","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneNumberPhone","Ввод на отдельной странице вклада в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 07:10:33 GMT 2023","Thu May 25 07:10:35 GMT 2023","1048","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBetween","Ввод пробела в поле ""Срок вклада"" значение ""22"" - между 20 и 24",""
"broken","Thu May 25 07:10:32 GMT 2023","Thu May 25 07:10:33 GMT 2023","770","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseEmail","Ввод в поле электронная почта неверных данных [1] 0",""
"broken","Thu May 25 07:10:29 GMT 2023","Thu May 25 07:10:30 GMT 2023","732","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTimeSpace","Ввод в поле ""Срок"" большого числа",""
"broken","Thu May 25 07:10:33 GMT 2023","Thu May 25 07:10:34 GMT 2023","409","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneCharFIO","Ввод на отдельной странице вклада в поле ""ФИО"" одной буквы",""
"broken","Thu May 25 07:10:30 GMT 2023","Thu May 25 07:10:31 GMT 2023","905","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"broken","Thu May 25 07:10:32 GMT 2023","Thu May 25 07:10:33 GMT 2023","1027","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditFalseFI","Ввод в поле ""Контактное лицо"" одной буквы",""
"broken","Thu May 25 07:10:35 GMT 2023","Thu May 25 07:10:36 GMT 2023","575","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"broken","Thu May 25 07:10:30 GMT 2023","Thu May 25 07:10:31 GMT 2023","1032","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseEmail","Ввод в поле ""Электронная почта"" одного символа",""
"broken","Thu May 25 07:10:35 GMT 2023","Thu May 25 07:10:36 GMT 2023","538","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 07:10:31 GMT 2023","Thu May 25 07:10:31 GMT 2023","876","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"broken","Thu May 25 07:10:31 GMT 2023","Thu May 25 07:10:31 GMT 2023","713","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
