"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 24 22:11:34 GMT 2023","Wed May 24 22:11:35 GMT 2023","667","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Wed May 24 22:11:19 GMT 2023","Wed May 24 22:11:32 GMT 2023","12323","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Wed May 24 22:11:37 GMT 2023","Wed May 24 22:11:37 GMT 2023","467","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"broken","Wed May 24 22:11:33 GMT 2023","Wed May 24 22:11:33 GMT 2023","812","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditSumBig","Ввод в поле ""Сумма"" большого числа",""
"broken","Wed May 24 22:11:33 GMT 2023","Wed May 24 22:11:34 GMT 2023","911","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditAllowConditions","Проверка отправки заявки без галочки ""Я согласен с условиями рассмотрения заявки""",""
"broken","Wed May 24 22:11:34 GMT 2023","Wed May 24 22:11:34 GMT 2023","889","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO2","Ввод в поле ""ФИО"" большого числа знаков:",""
"broken","Wed May 24 22:11:34 GMT 2023","Wed May 24 22:11:34 GMT 2023","871","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"broken","Wed May 24 22:11:36 GMT 2023","Wed May 24 22:11:37 GMT 2023","681","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"broken","Wed May 24 22:11:19 GMT 2023","Wed May 24 22:11:32 GMT 2023","12327","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"broken","Wed May 24 22:11:35 GMT 2023","Wed May 24 22:11:36 GMT 2023","585","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneCharFIO","Ввод на отдельной странице вклада в поле ""ФИО"" одной буквы",""
