"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 12:04:19 GMT 2023","Thu May 25 12:04:39 GMT 2023","20004","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"failed","Thu May 25 12:04:59 GMT 2023","Thu May 25 12:05:09 GMT 2023","10881","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 12:04:39 GMT 2023","Thu May 25 12:04:56 GMT 2023","16791","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"passed","Thu May 25 12:03:48 GMT 2023","Thu May 25 12:04:17 GMT 2023","29335","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"failed","Thu May 25 12:05:10 GMT 2023","Thu May 25 12:05:23 GMT 2023","13020","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"passed","Thu May 25 12:03:52 GMT 2023","Thu May 25 12:04:19 GMT 2023","26362","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"passed","Thu May 25 12:04:19 GMT 2023","Thu May 25 12:04:37 GMT 2023","18007","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"failed","Thu May 25 12:04:39 GMT 2023","Thu May 25 12:04:56 GMT 2023","17080","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"failed","Thu May 25 12:05:10 GMT 2023","Thu May 25 12:05:23 GMT 2023","13467","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"failed","Thu May 25 12:04:39 GMT 2023","Thu May 25 12:04:58 GMT 2023","19376","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"failed","Thu May 25 12:05:24 GMT 2023","Thu May 25 12:05:40 GMT 2023","16598","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"failed","Thu May 25 12:05:23 GMT 2023","Thu May 25 12:05:42 GMT 2023","18080","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"failed","Thu May 25 12:05:23 GMT 2023","Thu May 25 12:05:41 GMT 2023","17922","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 12:04:39 GMT 2023","Thu May 25 12:04:57 GMT 2023","17648","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"failed","Thu May 25 12:05:10 GMT 2023","Thu May 25 12:05:23 GMT 2023","13655","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"failed","Thu May 25 12:04:59 GMT 2023","Thu May 25 12:05:09 GMT 2023","10922","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"passed","Thu May 25 12:04:19 GMT 2023","Thu May 25 12:04:34 GMT 2023","15107","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 12:05:24 GMT 2023","Thu May 25 12:05:42 GMT 2023","18515","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"failed","Thu May 25 12:03:48 GMT 2023","Thu May 25 12:04:08 GMT 2023","19857","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
