"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 10:40:26 GMT 2023","Thu May 25 10:40:27 GMT 2023","279","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 10:40:26 GMT 2023","Thu May 25 10:40:26 GMT 2023","428","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"broken","Thu May 25 10:40:26 GMT 2023","Thu May 25 10:40:27 GMT 2023","253","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 10:40:25 GMT 2023","Thu May 25 10:40:26 GMT 2023","367","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"broken","Thu May 25 10:40:25 GMT 2023","Thu May 25 10:40:25 GMT 2023","310","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 10:40:27 GMT 2023","Thu May 25 10:40:28 GMT 2023","409","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 10:40:26 GMT 2023","Thu May 25 10:40:26 GMT 2023","336","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"broken","Thu May 25 10:40:27 GMT 2023","Thu May 25 10:40:28 GMT 2023","388","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"broken","Thu May 25 10:40:21 GMT 2023","Thu May 25 10:40:25 GMT 2023","3863","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"broken","Thu May 25 10:40:27 GMT 2023","Thu May 25 10:40:27 GMT 2023","394","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"broken","Thu May 25 10:40:27 GMT 2023","Thu May 25 10:40:28 GMT 2023","364","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"broken","Thu May 25 10:40:27 GMT 2023","Thu May 25 10:40:27 GMT 2023","408","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"broken","Thu May 25 10:40:26 GMT 2023","Thu May 25 10:40:26 GMT 2023","369","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"broken","Thu May 25 10:40:21 GMT 2023","Thu May 25 10:40:25 GMT 2023","3859","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Thu May 25 10:40:27 GMT 2023","Thu May 25 10:40:28 GMT 2023","359","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 10:40:26 GMT 2023","Thu May 25 10:40:26 GMT 2023","374","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Thu May 25 10:40:27 GMT 2023","Thu May 25 10:40:27 GMT 2023","408","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"broken","Thu May 25 10:40:24 GMT 2023","Thu May 25 10:40:25 GMT 2023","1134","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"broken","Thu May 25 10:40:25 GMT 2023","Thu May 25 10:40:26 GMT 2023","339","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
