"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 12:05:47 GMT 2023","Tue May 23 12:07:24 GMT 2023","96589","","tests.mobile.MobileSecondTest","","tests.mobile.MobileSecondTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 12:14:10 GMT 2023","Tue May 23 12:15:42 GMT 2023","91624","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
"broken","Tue May 23 12:15:42 GMT 2023","Tue May 23 12:17:14 GMT 2023","91718","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
"failed","Tue May 23 12:12:18 GMT 2023","Tue May 23 12:14:10 GMT 2023","112322","","tests.desktop.FiveTest","","tests.desktop.FiveTest","businessCredit","businessCredit()",""
"broken","Tue May 23 12:10:46 GMT 2023","Tue May 23 12:12:18 GMT 2023","91828","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"passed","Tue May 23 12:07:24 GMT 2023","Tue May 23 12:07:42 GMT 2023","17784","","tests.mobile.MobileFirstTest","","tests.mobile.MobileFirstTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 12:09:14 GMT 2023","Tue May 23 12:10:46 GMT 2023","91871","","tests.desktop.FourTest","","tests.desktop.FourTest","ipoteka","ipoteka()",""
"broken","Tue May 23 12:07:42 GMT 2023","Tue May 23 12:09:14 GMT 2023","91684","","tests.desktop.ThirdTest","","tests.desktop.ThirdTest","credit","credit()",""
