"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 09:26:40 GMT 2023","Thu May 25 09:28:13 GMT 2023","92562","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 09:28:14 GMT 2023","Thu May 25 09:29:46 GMT 2023","92898","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Thu May 25 09:28:14 GMT 2023","Thu May 25 09:29:47 GMT 2023","93611","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"broken","Thu May 25 09:29:47 GMT 2023","Thu May 25 09:31:19 GMT 2023","91795","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 09:24:42 GMT 2023","Thu May 25 09:26:40 GMT 2023","117973","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"broken","Thu May 25 09:32:52 GMT 2023","Thu May 25 09:34:26 GMT 2023","93774","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"broken","Thu May 25 09:32:52 GMT 2023","Thu May 25 09:34:26 GMT 2023","93443","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"failed","Thu May 25 09:24:40 GMT 2023","Thu May 25 09:26:40 GMT 2023","120950","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Thu May 25 09:31:19 GMT 2023","Thu May 25 09:32:52 GMT 2023","92872","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"broken","Thu May 25 09:31:20 GMT 2023","Thu May 25 09:32:52 GMT 2023","92677","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"broken","Thu May 25 09:32:53 GMT 2023","Thu May 25 09:34:26 GMT 2023","93737","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 09:26:41 GMT 2023","Thu May 25 09:28:13 GMT 2023","92376","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"broken","Thu May 25 09:28:14 GMT 2023","Thu May 25 09:29:47 GMT 2023","93610","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"broken","Thu May 25 09:31:19 GMT 2023","Thu May 25 09:32:52 GMT 2023","92937","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"broken","Thu May 25 09:28:13 GMT 2023","Thu May 25 09:29:47 GMT 2023","93392","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"broken","Thu May 25 09:24:40 GMT 2023","Thu May 25 09:26:16 GMT 2023","96122","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"broken","Thu May 25 09:26:40 GMT 2023","Thu May 25 09:28:13 GMT 2023","92640","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"broken","Thu May 25 09:29:47 GMT 2023","Thu May 25 09:31:19 GMT 2023","91799","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"broken","Thu May 25 09:32:53 GMT 2023","Thu May 25 09:34:26 GMT 2023","93396","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
