"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 12:39:34 GMT 2023","Tue May 23 12:41:05 GMT 2023","91737","","tests.desktop.FiveTest","","tests.desktop.FiveTest","businessCredit","businessCredit()",""
"failed","Tue May 23 12:34:18 GMT 2023","Tue May 23 12:36:11 GMT 2023","113256","","tests.desktop.ThirdTest","","tests.desktop.ThirdTest","credit","credit()",""
"failed","Tue May 23 12:37:43 GMT 2023","Tue May 23 12:39:33 GMT 2023","110795","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"broken","Tue May 23 12:36:11 GMT 2023","Tue May 23 12:37:43 GMT 2023","91663","","tests.desktop.FourTest","","tests.desktop.FourTest","ipoteka","ipoteka()",""
"broken","Tue May 23 12:41:05 GMT 2023","Tue May 23 12:42:37 GMT 2023","91648","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
"broken","Tue May 23 12:32:46 GMT 2023","Tue May 23 12:34:18 GMT 2023","91670","","tests.mobile.MobileFirstTest","","tests.mobile.MobileFirstTest","cardMtsCashBack","cardMtsCashBack()",""
"broken","Tue May 23 12:42:37 GMT 2023","Tue May 23 12:44:09 GMT 2023","91652","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
"failed","Tue May 23 12:30:43 GMT 2023","Tue May 23 12:32:46 GMT 2023","122810","","tests.mobile.MobileSecondTest","","tests.mobile.MobileSecondTest","cardMtsCashBack","cardMtsCashBack()",""
