"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 25 11:57:36 GMT 2023","Thu May 25 11:57:48 GMT 2023","11821","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"passed","Thu May 25 11:57:23 GMT 2023","Thu May 25 11:57:35 GMT 2023","11994","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"passed","Thu May 25 11:57:03 GMT 2023","Thu May 25 11:57:22 GMT 2023","18118","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"passed","Thu May 25 11:57:23 GMT 2023","Thu May 25 11:57:36 GMT 2023","13092","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"failed","Thu May 25 11:57:36 GMT 2023","Thu May 25 11:57:49 GMT 2023","12943","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [3] Petr Petrov",""
"passed","Thu May 25 11:57:23 GMT 2023","Thu May 25 11:57:33 GMT 2023","9652","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 11:58:09 GMT 2023","Thu May 25 11:58:22 GMT 2023","12943","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 11:57:50 GMT 2023","Thu May 25 11:57:58 GMT 2023","8617","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditEmpty","Отправка заявки с пустыми полями",""
"failed","Thu May 25 11:58:09 GMT 2023","Thu May 25 11:58:20 GMT 2023","11452","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"passed","Thu May 25 11:57:06 GMT 2023","Thu May 25 11:57:23 GMT 2023","16571","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"failed","Thu May 25 11:58:09 GMT 2023","Thu May 25 11:58:21 GMT 2023","12292","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"failed","Thu May 25 11:57:59 GMT 2023","Thu May 25 11:58:09 GMT 2023","9961","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"passed","Thu May 25 11:57:03 GMT 2023","Thu May 25 11:57:22 GMT 2023","18472","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"failed","Thu May 25 11:57:50 GMT 2023","Thu May 25 11:57:58 GMT 2023","8732","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCreditOneNumberPhone","Ввод в поле ""Мобильный телефон"" одной цифры",""
"failed","Thu May 25 11:57:59 GMT 2023","Thu May 25 11:58:08 GMT 2023","9455","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"failed","Thu May 25 11:57:36 GMT 2023","Thu May 25 11:57:49 GMT 2023","13020","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"failed","Thu May 25 11:57:59 GMT 2023","Thu May 25 11:58:09 GMT 2023","10178","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"failed","Thu May 25 11:58:09 GMT 2023","Thu May 25 11:58:21 GMT 2023","12576","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"failed","Thu May 25 11:57:36 GMT 2023","Thu May 25 11:57:50 GMT 2023","13315","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
